location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Brazil,BRA,2021-01-17,112,112,,,,,0.0,0.0,,,,,
Brazil,BRA,2021-01-18,1109,1109,,,997,997,0.0,0.0,,,5,997,0.0
Brazil,BRA,2021-01-19,13527,13527,,,12418,6708,0.01,0.01,,,31,6708,0.003
Brazil,BRA,2021-01-20,105824,105824,,,92297,35237,0.05,0.05,,,164,35237,0.016
Brazil,BRA,2021-01-21,193699,193699,,,87875,48397,0.09,0.09,,,225,48397,0.022
Brazil,BRA,2021-01-22,462269,462269,,,268570,92431,0.21,0.21,,,429,92431,0.043
Brazil,BRA,2021-01-23,573268,573268,,,110999,95526,0.27,0.27,,,444,95526,0.044
Brazil,BRA,2021-01-24,613954,613954,,,40686,87692,0.29,0.29,,,407,87692,0.041
Brazil,BRA,2021-01-25,801759,801759,,,187805,114379,0.37,0.37,,,531,114379,0.053
Brazil,BRA,2021-01-26,1045746,1045746,,,243987,147460,0.49,0.49,,,685,147460,0.068
Brazil,BRA,2021-01-27,1327546,1327546,,,281800,174532,0.62,0.62,,,811,174532,0.081
Brazil,BRA,2021-01-28,1563098,1563098,,,235552,195628,0.73,0.73,,,909,195628,0.091
Brazil,BRA,2021-01-29,1923813,1923813,,,360715,208792,0.89,0.89,,,970,208792,0.097
Brazil,BRA,2021-01-30,2046523,2046523,,,122710,210465,0.95,0.95,,,977,210465,0.098
Brazil,BRA,2021-01-31,2084119,2084119,,,37596,210024,0.97,0.97,,,975,210024,0.098
Brazil,BRA,2021-02-01,2292551,2292551,,,208432,212970,1.06,1.06,,,989,212970,0.099
Brazil,BRA,2021-02-02,2521704,2521704,,,229153,210851,1.17,1.17,,,979,210851,0.098
Brazil,BRA,2021-02-03,2802134,2802134,,,280430,210655,1.3,1.3,,,978,210655,0.098
Brazil,BRA,2021-02-04,3074906,3074906,,,272772,215973,1.43,1.43,,,1003,215973,0.1
Brazil,BRA,2021-02-05,3401383,3399421,1962,,326477,211081,1.58,1.58,0.0,,980,210801,0.098
Brazil,BRA,2021-02-06,3553681,3534004,19677,,152298,215308,1.65,1.64,0.01,,1000,212497,0.099
Brazil,BRA,2021-02-07,3605538,3579850,25688,,51857,217346,1.67,1.66,0.01,,1009,213676,0.099
Brazil,BRA,2021-02-08,3820207,3786591,33616,,214669,218237,1.77,1.76,0.02,,1014,213434,0.099
Brazil,BRA,2021-02-09,4120332,4069677,50655,,300125,228375,1.91,1.89,0.02,,1061,221139,0.103
Brazil,BRA,2021-02-10,4406835,4326075,80760,,286503,229243,2.05,2.01,0.04,,1065,217706,0.101
Brazil,BRA,2021-02-11,4696136,4586270,109866,,289301,231604,2.18,2.13,0.05,,1076,215909,0.1
Brazil,BRA,2021-02-12,5125206,4946738,178468,,429070,246260,2.38,2.3,0.08,,1144,221045,0.103
Brazil,BRA,2021-02-13,5236943,5042713,194230,,111737,240466,2.43,2.34,0.09,,1117,215530,0.1
Brazil,BRA,2021-02-14,5293979,5076110,217869,,57036,241206,2.46,2.36,0.1,,1120,213751,0.099
Brazil,BRA,2021-02-15,5609937,5324317,285620,,315958,255676,2.61,2.47,0.13,,1187,219675,0.102
Brazil,BRA,2021-02-16,5883539,5326007,557532,,273602,251887,2.73,2.47,0.26,,1170,179476,0.083
Brazil,BRA,2021-02-17,6206680,5482925,723755,,323141,257121,2.88,2.55,0.34,,1194,165264,0.077
Brazil,BRA,2021-02-18,6535156,5640483,894673,,328476,262717,3.04,2.62,0.42,,1220,150602,0.07
Brazil,BRA,2021-02-19,6813168,5756361,1056807,,278012,241137,3.16,2.67,0.49,,1120,115660,0.054
Brazil,BRA,2021-02-20,6950802,5817908,1132894,,137634,244837,3.23,2.7,0.53,,1137,110742,0.051
Brazil,BRA,2021-02-21,7028356,5857080,1171276,,77554,247768,3.26,2.72,0.54,,1151,111567,0.052
Brazil,BRA,2021-02-22,7297061,6002873,1294188,,268705,241018,3.39,2.79,0.6,,1119,96937,0.045
Brazil,BRA,2021-02-23,7551676,6116082,1435594,,254615,238305,3.51,2.84,0.67,,1107,112868,0.052
Brazil,BRA,2021-02-24,7799000,6202055,1596945,,247324,227474,3.62,2.88,0.74,,1056,102733,0.048
Brazil,BRA,2021-02-25,8101787,6346769,1755018,,302787,223804,3.76,2.95,0.82,,1039,100898,0.047
Brazil,BRA,2021-02-26,8322042,6437836,1884206,,220255,215553,3.87,2.99,0.88,,1001,97354,0.045
Brazil,BRA,2021-02-27,8433568,6518628,1914940,,111526,211824,3.92,3.03,0.89,,984,100103,0.046
Brazil,BRA,2021-02-28,8465403,6542206,1923197,,31835,205292,3.93,3.04,0.89,,953,97875,0.045
Brazil,BRA,2021-03-01,8841027,6806293,2034734,,375624,220567,4.11,3.16,0.95,,1024,114774,0.053
Brazil,BRA,2021-03-02,9277322,7114219,2163103,,436295,246521,4.31,3.3,1.0,,1145,142591,0.066
Brazil,BRA,2021-03-03,9739676,7417852,2321824,,462354,277239,4.52,3.45,1.08,,1288,173685,0.081
Brazil,BRA,2021-03-04,10169160,7701146,2468014,,429484,295339,4.72,3.58,1.15,,1372,193482,0.09
Brazil,BRA,2021-03-05,10576542,7958939,2617603,,407382,322071,4.91,3.7,1.22,,1496,217300,0.101
Brazil,BRA,2021-03-06,10830688,8142004,2688684,,254146,342446,5.03,3.78,1.25,,1590,231911,0.108
Brazil,BRA,2021-03-07,10948409,8227671,2720738,,117721,354715,5.08,3.82,1.26,,1647,240781,0.112
Brazil,BRA,2021-03-08,11357494,8504966,2852528,,409085,359495,5.27,3.95,1.32,,1670,242668,0.113
Brazil,BRA,2021-03-09,11756131,8764547,2991584,,398637,354116,5.46,4.07,1.39,,1645,235761,0.109
Brazil,BRA,2021-03-10,12181103,9013293,3167810,,424972,348775,5.66,4.19,1.47,,1620,227920,0.106
Brazil,BRA,2021-03-11,12613179,9298511,3314668,,432076,349146,5.86,4.32,1.54,,1622,228195,0.106
Brazil,BRA,2021-03-12,13017720,9547655,3470065,,404541,348740,6.05,4.43,1.61,,1620,226959,0.105
Brazil,BRA,2021-03-13,13223729,9669967,3553762,,206009,341863,6.14,4.49,1.65,,1588,218280,0.101
Brazil,BRA,2021-03-14,13286664,9718209,3568455,,62935,334036,6.17,4.51,1.66,,1551,212934,0.099
Brazil,BRA,2021-03-15,13763573,10087787,3675786,,476909,343726,6.39,4.69,1.71,,1596,226117,0.105
Brazil,BRA,2021-03-16,14198794,10402388,3796406,,435221,348952,6.59,4.83,1.76,,1621,233977,0.109
Brazil,BRA,2021-03-17,14648691,10725474,3923217,,449897,352513,6.8,4.98,1.82,,1637,244597,0.114
Brazil,BRA,2021-03-18,15087602,11055747,4031855,,438911,353489,7.01,5.13,1.87,,1642,251034,0.117
Brazil,BRA,2021-03-19,15623349,11509501,4113848,,535747,372233,7.26,5.35,1.91,,1729,280264,0.13
Brazil,BRA,2021-03-20,15883688,11739832,4143856,,260339,379994,7.38,5.45,1.92,,1765,295695,0.137
Brazil,BRA,2021-03-21,15980363,11818482,4161881,,96675,384814,7.42,5.49,1.93,,1787,300039,0.139
Brazil,BRA,2021-03-22,16567102,12314847,4252255,,586739,400504,7.69,5.72,1.97,,1860,318151,0.148
Brazil,BRA,2021-03-23,17157631,12817812,4339819,,590529,422691,7.97,5.95,2.02,,1963,345061,0.16
Brazil,BRA,2021-03-24,17886781,13436373,4450408,,729150,462584,8.31,6.24,2.07,,2148,387271,0.18
Brazil,BRA,2021-03-25,18655345,14102934,4552411,,768564,509678,8.66,6.55,2.11,,2367,435312,0.202
Brazil,BRA,2021-03-26,19577786,14928869,4648917,,922441,564920,9.09,6.93,2.16,,2624,488481,0.227
Brazil,BRA,2021-03-27,19962072,15282128,4679944,,384286,582626,9.27,7.1,2.17,,2706,506042,0.235
Brazil,BRA,2021-03-28,20216938,15513974,4702964,,254866,605225,9.39,7.21,2.18,,2811,527927,0.245
Brazil,BRA,2021-03-29,21160763,16335279,4825484,,943825,656237,9.83,7.59,2.24,,3048,574347,0.267
Brazil,BRA,2021-03-30,21950245,16995184,4955061,,789482,684659,10.19,7.89,2.3,,3180,596767,0.277
Brazil,BRA,2021-03-31,22839287,17745732,5093555,,889042,707501,10.61,8.24,2.37,,3286,615623,0.286
Brazil,BRA,2021-04-01,23880805,18639028,5241777,,1041518,746494,11.09,8.66,2.43,,3467,648013,0.301
Brazil,BRA,2021-04-02,24181208,18900837,5280371,,300403,657632,11.23,8.78,2.45,,3054,567424,0.264
Brazil,BRA,2021-04-03,24575470,19222342,5353128,,394262,659057,11.41,8.93,2.49,,3061,562888,0.261
Brazil,BRA,2021-04-04,24910668,19510333,5400335,,335198,670533,11.57,9.06,2.51,,3114,570908,0.265
Brazil,BRA,2021-04-05,25658532,20056296,5602236,,747864,642538,11.92,9.31,2.6,,2984,531574,0.247
Brazil,BRA,2021-04-06,26736003,20850120,5885883,,1077471,683680,12.42,9.68,2.73,,3175,550705,0.256
Brazil,BRA,2021-04-07,27644079,21538484,6105595,,908076,686399,12.84,10.0,2.84,,3188,541822,0.252
Brazil,BRA,2021-04-08,28653848,22246612,6407236,,1009769,681863,13.31,10.33,2.98,,3167,515369,0.239
Brazil,BRA,2021-04-09,29544578,22693305,6851273,,890730,766196,13.72,10.54,3.18,,3559,541781,0.252
Brazil,BRA,2021-04-10,30084664,23097172,6987492,,540086,787028,13.97,10.73,3.25,,3655,553547,0.257
Brazil,BRA,2021-04-11,30356896,23300896,7056000,,272232,778033,14.1,10.82,3.28,,3613,541509,0.251
Brazil,BRA,2021-04-12,31316420,23910515,7405905,,959524,808270,14.54,11.1,3.44,,3754,550603,0.256
Brazil,BRA,2021-04-13,32217205,24473138,7744067,,900785,783029,14.96,11.37,3.6,,3637,517574,0.24
Brazil,BRA,2021-04-14,33148388,24996380,8152008,,931183,786330,15.4,11.61,3.79,,3652,493985,0.229
Brazil,BRA,2021-04-15,34050325,25478194,8572131,,901937,770925,15.81,11.83,3.98,,3580,461655,0.214
Brazil,BRA,2021-04-16,34993448,25810304,9183144,,943123,778410,16.25,11.99,4.27,,3615,445286,0.207
Brazil,BRA,2021-04-17,35603882,26085155,9518727,,610434,788460,16.54,12.11,4.42,,3662,426855,0.198
Brazil,BRA,2021-04-18,35817144,26210282,9606862,,213262,780035,16.63,12.17,4.46,,3623,415627,0.193
Brazil,BRA,2021-04-19,36910479,26707227,10203252,,1093335,799151,17.14,12.4,4.74,,3712,399530,0.186
Brazil,BRA,2021-04-20,37909705,27184073,10725632,,999226,813214,17.61,12.63,4.98,,3777,387276,0.18
Brazil,BRA,2021-04-21,38467754,27518053,10949701,,558049,759909,17.87,12.78,5.09,,3529,360239,0.167
Brazil,BRA,2021-04-22,39291064,27887014,11404050,,823310,748677,18.25,12.95,5.3,,3477,344117,0.16
Brazil,BRA,2021-04-23,41073104,28783905,12289199,,1782040,868522,19.08,13.37,5.71,,4034,424800,0.197
Brazil,BRA,2021-04-24,41494939,28981002,12513937,,421835,841580,19.27,13.46,5.81,,3909,413692,0.192
Brazil,BRA,2021-04-25,41626753,29041497,12585256,,131814,829944,19.33,13.49,5.85,,3855,404459,0.188
Brazil,BRA,2021-04-26,42787199,29601947,13185252,,1160446,839531,19.87,13.75,6.12,,3899,413531,0.192
Brazil,BRA,2021-04-27,44287510,30275923,14011587,,1500311,911115,20.57,14.06,6.51,,4232,441693,0.205
